  
  
# r(i) [cm]  Tk(i) [K]
  
1.0166881442E+0010  1.8250383670E+0003
1.0168555093E+0010  1.8344758488E+0003
1.0170243407E+0010  1.8440770169E+0003
1.0171946699E+0010  1.8538451243E+0003
1.0173665292E+0010  1.8637825293E+0003
1.0175399521E+0010  1.8738908174E+0003
1.0177149730E+0010  1.8841739448E+0003
1.0178916276E+0010  1.8946312814E+0003
1.0180699521E+0010  1.9052729805E+0003
1.0182499839E+0010  1.9160980600E+0003
1.0184317611E+0010  1.9271093721E+0003
1.0186153232E+0010  1.9383099787E+0003
1.0188007107E+0010  1.9497013130E+0003
1.0189879659E+0010  1.9612866983E+0003
1.0191771318E+0010  1.9730709248E+0003
1.0193682527E+0010  1.9850562016E+0003
1.0195613744E+0010  1.9972466072E+0003
1.0197565438E+0010  2.0096437898E+0003
1.0199538095E+0010  2.0222502488E+0003
1.0201532216E+0010  2.0350693935E+0003
1.0203548317E+0010  2.0481024912E+0003
1.0205586929E+0010  2.0613559912E+0003
1.0207648605E+0010  2.0748324282E+0003
1.0209733906E+0010  2.0885352093E+0003
1.0211843418E+0010  2.1024693575E+0003
1.0213977738E+0010  2.1166347699E+0003
1.0216137486E+0010  2.1310373216E+0003
1.0218323304E+0010  2.1456777387E+0003
1.0220535854E+0010  2.1605594217E+0003
1.0222775825E+0010  2.1756848881E+0003
1.0225043924E+0010  2.1910569378E+0003
1.0227340881E+0010  2.2066803326E+0003
1.0229667454E+0010  2.2225586214E+0003
1.0232024429E+0010  2.2386892532E+0003
1.0234412615E+0010  2.2550782691E+0003
1.0236832855E+0010  2.2717281261E+0003
1.0239286021E+0010  2.2886418877E+0003
1.0241773013E+0010  2.3058237915E+0003
1.0244294761E+0010  2.3232771308E+0003
1.0246852232E+0010  2.3410013848E+0003
1.0249446426E+0010  2.3589983708E+0003
1.0252078389E+0010  2.3772687477E+0003
1.0254749202E+0010  2.3958136603E+0003
1.0257459993E+0010  2.4146366090E+0003
1.0260211929E+0010  2.4337393736E+0003
1.0263006224E+0010  2.4531188851E+0003
1.0265844139E+0010  2.4727815349E+0003
1.0268726990E+0010  2.4927201573E+0003
1.0271656150E+0010  2.5129388361E+0003
1.0274633041E+0010  2.5334384624E+0003
1.0277659145E+0010  2.5542183056E+0003
1.0280736009E+0010  2.5752813479E+0003
1.0283865239E+0010  2.5966166727E+0003
1.0287048522E+0010  2.6182257702E+0003
1.0290287615E+0010  2.6401027708E+0003
1.0293584364E+0010  2.6622441414E+0003
1.0296940694E+0010  2.6846469925E+0003
1.0300358616E+0010  2.7073048397E+0003
1.0303840241E+0010  2.7302144178E+0003
1.0307387770E+0010  2.7533674310E+0003
1.0311003517E+0010  2.7767573662E+0003
1.0314689906E+0010  2.8003764509E+0003
1.0318449474E+0010  2.8242162048E+0003
1.0322284896E+0010  2.8482697499E+0003
1.0326198958E+0010  2.8725206906E+0003
1.0330194616E+0010  2.8969581045E+0003
1.0334274964E+0010  2.9215627470E+0003
1.0338443278E+0010  2.9463204254E+0003
1.0342702999E+0010  2.9712202221E+0003
1.0347057752E+0010  2.9962457689E+0003
1.0351511350E+0010  3.0213845271E+0003
1.0356067805E+0010  3.0466100977E+0003
1.0360731369E+0010  3.0719073720E+0003
1.0365506517E+0010  3.0972482864E+0003
1.0370397998E+0010  3.1226219973E+0003
1.0375410795E+0010  3.1479984820E+0003
1.0380550203E+0010  3.1733557326E+0003
1.0385821815E+0010  3.1986597023E+0003
1.0391231571E+0010  3.2238949136E+0003
