  
  
#r(i)[cm]  v(i) [cm/s]
  
1.0134203029E+0010  9.7730398501E+0000
1.0135270425E+0010  9.7613118890E+0000
1.0136340609E+0010  9.7493450625E+0000
1.0137413623E+0010  9.7370638648E+0000
1.0138489513E+0010  9.7245143029E+0000
1.0139568325E+0010  9.7118203903E+0000
1.0140650106E+0010  9.6989306642E+0000
1.0141734903E+0010  9.6859322341E+0000
1.0142822768E+0010  9.6729448726E+0000
1.0143913749E+0010  9.6598925645E+0000
1.0145007898E+0010  9.6466348419E+0000
1.0146105270E+0010  9.6331905763E+0000
1.0147205916E+0010  9.6195929994E+0000
1.0148309891E+0010  9.6058344079E+0000
1.0149417254E+0010  9.5919946078E+0000
1.0150528061E+0010  9.5780835515E+0000
1.0151642373E+0010  9.5640207418E+0000
1.0152760248E+0010  9.5497700337E+0000
1.0153881748E+0010  9.5353495909E+0000
1.0155006939E+0010  9.5207579177E+0000
1.0156135882E+0010  9.5060395822E+0000
1.0157268646E+0010  9.4912031442E+0000
1.0158405298E+0010  9.4762941300E+0000
1.0159545906E+0010  9.4614224802E+0000
1.0160690543E+0010  9.4467289936E+0000
1.0161839281E+0010  9.4322663196E+0000
1.0162992194E+0010  9.4179607858E+0000
1.0164149357E+0010  9.4037445890E+0000
1.0165310849E+0010  9.3895755584E+0000
1.0166476749E+0010  9.3754467502E+0000
1.0167647140E+0010  9.3614398178E+0000
1.0168822103E+0010  9.3476591434E+0000
1.0170001725E+0010  9.3341386312E+0000
1.0171186093E+0010  9.3209743604E+0000
1.0172375296E+0010  9.3083045123E+0000
1.0173569426E+0010  9.2961245912E+0000
1.0174768577E+0010  9.2843493273E+0000
1.0175972844E+0010  9.2729475829E+0000
1.0177182326E+0010  9.2620397401E+0000
1.0178397124E+0010  9.2517134790E+0000
1.0179617340E+0010  9.2420968354E+0000
1.0180843080E+0010  9.2333870694E+0000
1.0182074452E+0010  9.2256941393E+0000
1.0183311567E+0010  9.2189824813E+0000
1.0184554538E+0010  9.2131846416E+0000
1.0185803480E+0010  9.2083510858E+0000
1.0187058514E+0010  9.2045241543E+0000
1.0188319761E+0010  9.2018389895E+0000
1.0189587345E+0010  9.2004501198E+0000
1.0190861396E+0010  9.2492130180E+0000
1.0192142043E+0010  9.8707125052E+0000
1.0193429423E+0010  1.0693040570E+0001
1.0194723676E+0010  1.1101717298E+0001
1.0196024942E+0010  1.1749203475E+0001
1.0197333366E+0010  1.2639160961E+0001
1.0198649096E+0010  1.2965677241E+0001
1.0199972286E+0010  1.3157570259E+0001
1.0201303087E+0010  1.4078468323E+0001
1.0202641662E+0010  1.4932748442E+0001
1.0203988178E+0010  1.5301370825E+0001
1.0205342800E+0010  1.5981237857E+0001
1.0206705700E+0010  1.6911877554E+0001
1.0208077057E+0010  1.7587921050E+0001
1.0209457052E+0010  1.8599888726E+0001
1.0210845871E+0010  2.0225104899E+0001
1.0212243710E+0010  2.1641643729E+0001
1.0213650762E+0010  2.2870356591E+0001
1.0215067231E+0010  2.4383640389E+0001
1.0216493321E+0010  2.5642193209E+0001
1.0217929247E+0010  2.6839936037E+0001
1.0219375223E+0010  2.8482225975E+0001
1.0220831475E+0010  3.0036571516E+0001
1.0222298235E+0010  3.1407059352E+0001
1.0223775736E+0010  3.3022519552E+0001
1.0225264222E+0010  3.4726614312E+0001
1.0226763943E+0010  3.6341594588E+0001
1.0228275153E+0010  3.8274747688E+0001
1.0229798116E+0010  3.9911559812E+0001
1.0231333104E+0010  4.1356058199E+0001
1.0232880391E+0010  4.2865523153E+0001
1.0234440265E+0010  4.4371219112E+0001
1.0236013018E+0010  4.5998240759E+0001
1.0237598951E+0010  4.7516034416E+0001
1.0239198379E+0010  4.9198279486E+0001
1.0240811617E+0010  5.0731755202E+0001
1.0242438997E+0010  5.2613900801E+0001
