#
# r [cm]  T[K]
11003610368.049360  7405.5771914681500
11047679040.049360  7747.1249788944442
11093995456.049360  8095.9917917156972
11142664512.049360  8445.0534699215150
11193794880.049360  8777.4999931198308
11247503744.049360  9127.8442189260604
11303905984.049360  9476.6712801855319
11363127232.049360  9808.8428818000139
11425293888.049360  10132.072118360657
11490536064.049360  10465.843990870922
11558995328.049360  10803.783425690697
11630810368.049360  11120.349655750309
11706129664.049360  11415.065230691867
11785108352.049360  11693.232986136385
11867903744.049360  11948.961428209775
11954677248.049360  12174.227315077895
12045601664.049360  12364.139905635919
12140853376.049360  12516.027044655457
12240612224.049360  12640.841742630037
12345064192.049360  12760.235501993177
12454408448.049360  12891.234348735605
12568841728.049360  13027.153221012781
12688571648.049360  13154.899914076721
12813815552.049360  13263.650079642810
12944790016.049360  13356.486514086599
13081727232.049360  13440.781738799134
13224859904.049360  13526.127533618614
13374429696.049360  13616.908782972952
13530691328.049360  13709.810796630325
13693897728.049360  13800.089121282082
13864320768.049360  13881.716368559919
14042228736.049360  13948.240226784206
14227905024.049360  13998.197317644821
14421644544.049360  14032.493907086624
14623741696.049360  14052.696938188958
14834506496.049360  14061.173880791581
15054262272.049360  14061.250043728165
15283337216.049360  14057.023714324001
15522055680.049360  14049.920673032992
15770786816.049360  14039.418030291679
16029867008.049360  14024.887896836997
16299682304.049360  14005.607154271627
16580607488.049360  13980.747939755591
16873043456.049360  13949.361328076848
17177390592.049360  13910.364017876047
17494069248.049362  13862.518877804532
17823526400.049362  13804.418262548361
18166203392.049362  13734.924320862816
18522583040.049362  13653.647664254986
18893142528.049362  13560.391370880221
19278403584.049362  13455.093755596208
19678875648.049362  13337.874637916708
20095155200.049362  13209.043346079696
20527791104.049362  13069.180686845886
20977430528.049362  12919.142968745022
21444734976.049362  12760.144217988884
21930377216.049362  12593.823935005676
22435138560.049362  12422.290192234816
22959836160.049362  12248.234546498112
23505334272.049362  12075.033924338364
24072603648.049362  11906.856837300718
24662729728.049362  11748.813935637785
25276892160.049362  11607.147192647428
25916456960.049362  11489.432038749701
