  
  
#r(i)[cm]  rho(i) [g/cm^-3]
  
1.0136340609E+0010  1.3278592115E-0012
1.0137413623E+0010  1.3054921230E-0012
1.0138489513E+0010  1.2834564708E-0012
1.0139568325E+0010  1.2617456391E-0012
1.0140650106E+0010  1.2403572784E-0012
1.0141734903E+0010  1.2192823677E-0012
1.0142822768E+0010  1.1985217568E-0012
1.0143913749E+0010  1.1780655691E-0012
1.0145007898E+0010  1.1579123296E-0012
1.0146105270E+0010  1.1380585059E-0012
1.0147205916E+0010  1.1184980148E-0012
1.0148309891E+0010  1.0992259894E-0012
1.0149417254E+0010  1.0802401943E-0012
1.0150528061E+0010  1.0615347485E-0012
1.0151642373E+0010  1.0431070285E-0012
1.0152760248E+0010  1.0249529926E-0012
1.0153881748E+0010  1.0070657046E-0012
1.0155006939E+0010  9.8944677818E-0013
1.0156135882E+0010  9.7208745834E-0013
1.0157268646E+0010  9.5498644477E-0013
1.0158405298E+0010  9.3814003047E-0013
1.0159545906E+0010  9.2154313930E-0013
1.0160690543E+0010  9.0519358477E-0013
1.0161839281E+0010  8.8908733433E-0013
1.0162992194E+0010  8.7322163273E-0013
1.0164149357E+0010  8.5759197430E-0013
1.0165310849E+0010  8.4219587402E-0013
1.0166476749E+0010  8.2702900381E-0013
1.0167647140E+0010  8.1208937320E-0013
1.0168822103E+0010  7.9737372686E-0013
1.0170001725E+0010  7.8287786617E-0013
1.0171186093E+0010  7.6859947121E-0013
1.0172375296E+0010  7.5453534193E-0013
1.0173569426E+0010  7.4068311042E-0013
1.0174768577E+0010  7.2703837378E-0013
1.0175972844E+0010  7.1360012313E-0013
1.0177182326E+0010  7.0036408901E-0013
1.0178397124E+0010  6.8732795059E-0013
1.0179617340E+0010  6.7448915385E-0013
1.0180843080E+0010  6.6184487830E-0013
1.0182074452E+0010  6.4939224137E-0013
1.0183311567E+0010  6.3712873346E-0013
1.0184554538E+0010  6.2505248503E-0013
1.0185803480E+0010  6.1315954471E-0013
1.0187058514E+0010  6.0144870167E-0013
1.0188319761E+0010  5.8991695837E-0013
1.0189587345E+0010  5.7856189305E-0013
1.0190861396E+0010  5.6738119560E-0013
1.0192142043E+0010  5.5637180842E-0013
1.0193429423E+0010  5.4553132133E-0013
1.0194723676E+0010  5.3485881888E-0013
1.0196024942E+0010  5.2435127720E-0013
1.0197333366E+0010  5.1400717854E-0013
1.0198649096E+0010  5.0382375315E-0013
1.0199972286E+0010  4.9380022956E-0013
1.0201303087E+0010  4.8393272969E-0013
1.0202641662E+0010  4.7421911560E-0013
1.0203988178E+0010  4.6465899546E-0013
1.0205342800E+0010  4.5524960170E-0013
1.0206705700E+0010  4.4598874204E-0013
1.0208077057E+0010  4.3687416290E-0013
1.0209457052E+0010  4.2790522195E-0013
1.0210845871E+0010  4.1907772468E-0013
1.0212243710E+0010  4.1039209563E-0013
1.0213650762E+0010  4.0184563031E-0013
1.0215067231E+0010  3.9343697363E-0013
1.0216493321E+0010  3.8516379021E-0013
1.0217929247E+0010  3.7702536430E-0013
1.0219375223E+0010  3.6901918689E-0013
1.0220831475E+0010  3.6114295789E-0013
1.0222298235E+0010  3.5339638953E-0013
1.0223775736E+0010  3.4577708773E-0013
1.0225264222E+0010  3.3828330953E-0013
1.0226763943E+0010  3.3091398228E-0013
1.0228275153E+0010  3.2366709534E-0013
1.0229798116E+0010  3.1654122694E-0013
1.0231333104E+0010  3.0953524404E-0013
1.0232880391E+0010  3.0264736016E-0013
1.0234440265E+0010  2.9587603634E-0013
1.0236013018E+0010  2.8921984936E-0013
1.0237598951E+0010  2.8267698774E-0013
1.0239198379E+0010  2.7624663558E-0013
1.0240811617E+0010  2.6992687714E-0013
1.0242438997E+0010  2.6371692877E-0013
1.0244080854E+0010  2.5761435506E-0013
1.0245737541E+0010  2.5161875254E-0013
1.0247409413E+0010  2.4572841005E-0013
1.0249096842E+0010  2.3994193067E-0013
1.0250800208E+0010  2.3425852638E-0013
1.0252519899E+0010  2.2867613698E-0013
1.0254256323E+0010  2.2319419003E-0013
1.0256009891E+0010  2.1781089881E-0013
1.0257781034E+0010  2.1252551781E-0013
1.0259570190E+0010  2.0733634125E-0013
1.0261377816E+0010  2.0224202568E-0013
1.0263204384E+0010  1.9724209435E-0013
1.0265050373E+0010  1.9233454951E-0013
1.0266916285E+0010  1.8751890367E-0013
1.0268802632E+0010  1.8279330310E-0013
1.0270709950E+0010  1.7815734122E-0013
1.0272638781E+0010  1.7360925338E-0013
1.0274589694E+0010  1.6914815122E-0013
1.0276563273E+0010  1.6477281703E-0013
1.0278560123E+0010  1.6048189449E-0013
1.0280580870E+0010  1.5627469631E-0013
1.0282626159E+0010  1.5214988412E-0013
1.0284696657E+0010  1.4810634017E-0013
1.0286793054E+0010  1.4414291423E-0013
1.0288916068E+0010  1.4025883916E-0013
1.0291066434E+0010  1.3645302665E-0013
1.0293244914E+0010  1.3272413474E-0013
1.0295452303E+0010  1.2907143100E-0013
1.0297689417E+0010  1.2549368371E-0013
1.0299957104E+0010  1.2198987916E-0013
1.0302256245E+0010  1.1855888098E-0013
1.0304587754E+0010  1.1519975229E-0013
1.0306952577E+0010  1.1191145551E-0013
1.0309351696E+0010  1.0869316702E-0013
1.0311786126E+0010  1.0554379703E-0013
1.0314256924E+0010  1.0246253370E-0013
1.0316765182E+0010  9.9448201563E-0014
1.0319312038E+0010  9.6499938498E-0014
1.0321898673E+0010  9.3616641683E-0014
1.0324526317E+0010  9.0797485988E-0014
1.0327196248E+0010  8.8041470084E-0014
1.0329909793E+0010  8.5347601255E-0014
1.0332668337E+0010  8.2715139097E-0014
1.0335473313E+0010  8.0143048525E-0014
1.0338326220E+0010  7.7630535263E-0014
1.0341228611E+0010  7.5176630475E-0014
1.0344182109E+0010  7.2780562186E-0014
1.0347188399E+0010  7.0441172750E-0014
1.0350249249E+0010  6.8157691519E-0014
1.0353366496E+0010  6.5929321200E-0014
1.0356542058E+0010  6.3755036748E-0014
1.0359777940E+0010  6.1634054396E-0014
1.0363076235E+0010  5.9565584734E-0014
1.0366439124E+0010  5.7548663535E-0014
1.0369868895E+0010  5.5582509414E-0014
1.0373367934E+0010  5.3666253119E-0014
1.0376938744E+0010  5.1798853861E-0014
1.0380583955E+0010  4.9979562284E-0014
1.0384306322E+0010  4.8207631759E-0014
1.0388108723E+0010  4.6482302666E-0014
1.0391994176E+0010  4.4802631897E-0014
1.0395965857E+0010  4.3167755734E-0014
1.0400027106E+0010  4.1577023167E-0014
1.0404181423E+0010  4.0029659946E-0014
1.0408432483E+0010  3.8524896008E-0014
1.0412784149E+0010  3.7061963103E-0014
1.0417240487E+0010  3.5640085981E-0014
1.0421805780E+0010  3.4258476165E-0014
1.0426484543E+0010  3.2916474393E-0014
1.0431281525E+0010  3.1613227259E-0014
1.0436201748E+0010  3.0347985814E-0014
1.0441250521E+0010  2.9120038541E-0014
1.0446433449E+0010  2.7928673137E-0014
1.0451756454E+0010  2.6773275152E-0014
1.0457225785E+0010  2.5653193604E-0014
1.0462848040E+0010  2.4567706665E-0014
1.0468630210E+0010  2.3516060808E-0014
1.0474579720E+0010  2.2497618314E-0014
1.0480704429E+0010  2.1511693025E-0014
1.0487012683E+0010  2.0557807851E-0014
1.0493513283E+0010  1.9635336256E-0014
1.0500215560E+0010  1.8743707941E-0014
1.0507129394E+0010  1.7882281032E-0014
1.0514265277E+0010  1.7050464499E-0014
1.0521634340E+0010  1.6247962893E-0014
1.0529248255E+0010  1.5474344039E-0014
1.0537119308E+0010  1.4729211201E-0014
1.0545260400E+0010  1.4012193799E-0014
1.0553685026E+0010  1.3322989011E-0014
1.0562407234E+0010  1.2661389617E-0014
1.0571441514E+0010  1.2027234045E-0014
1.0580802689E+0010  1.1420313892E-0014
1.0590505833E+0010  1.0840310018E-0014
1.0600566234E+0010  1.0286878970E-0014
1.0610999270E+0010  9.7596003194E-0015
1.0621820317E+0010  9.2580497688E-0015
1.0633044569E+0010  8.7814952489E-0015
1.0644687206E+0010  8.3289554401E-0015
1.0656763635E+0010  7.8995013363E-0015
1.0669289383E+0010  7.4919671043E-0015
1.0682280478E+0010  7.1050678620E-0015
1.0695753790E+0010  6.7373810542E-0015
1.0709727572E+0010  6.3877833471E-0015
1.0724221210E+0010  6.0550173269E-0015
1.0739255861E+0010  5.7378171229E-0015
1.0754854982E+0010  5.4350296326E-0015
1.0771044658E+0010  5.1457464710E-0015
1.0787853513E+0010  4.8689676151E-0015
1.0805313621E+0010  4.6040851109E-0015
1.0823459846E+0010  4.3502171067E-0015
1.0842331515E+0010  4.1068737455E-0015
1.0861971639E+0010  3.8734026464E-0015
1.0882428389E+0010  3.6495831461E-0015
1.0903753709E+0010  3.4350295458E-0015
1.0926004713E+0010  3.2293715091E-0015
1.0949244430E+0010  3.0322811356E-0015
1.0973542445E+0010  2.8434247963E-0015
1.0998976010E+0010  2.6628044301E-0015
1.1025628025E+0010  2.4900509204E-0015
1.1053591223E+0010  2.3248062210E-0015
1.1082969900E+0010  2.1672280754E-0015
1.1113874928E+0010  2.0168772936E-0015
1.1146432452E+0010  1.8739643619E-0015
1.1180775576E+0010  1.7379482810E-0015
1.1217058146E+0010  1.6089636845E-0015
1.1255444303E+0010  1.4866373067E-0015
1.1296120678E+0010  1.3711388255E-0015
1.1339284461E+0010  1.2619017097E-0015
1.1385166426E+0010  1.1591289125E-0015
1.1434009112E+0010  1.0623882690E-0015
1.1486091597E+0010  9.7169242821E-0016
1.1541714151E+0010  8.8722613378E-0016
1.1601183314E+0010  8.0843930495E-0016
1.1664854971E+0010  7.3515164818E-0016
1.1733117406E+0010  6.6725026386E-0016
1.1806384449E+0010  6.0435788410E-0016
1.1885123297E+0010  5.4613266589E-0016
1.1969863371E+0010  4.9260477717E-0016
1.2061144174E+0010  4.4368017524E-0016
1.2159512825E+0010  3.9881010579E-0016
1.2265617678E+0010  3.5779875314E-0016
1.2380150032E+0010  3.2056111343E-0016
1.2503795684E+0010  2.8695596245E-0016
1.2637216576E+0010  2.5659477542E-0016
1.2781142200E+0010  2.2938355589E-0016
1.2936217345E+0010  2.0496659059E-0016
1.3103130343E+0010  1.8323700066E-0016
1.3282423650E+0010  1.6389473266E-0016
1.3474619727E+0010  1.4666281449E-0016
1.3680231012E+0010  1.3133705570E-0016
1.3899695610E+0010  1.1781849053E-0016
1.4133183862E+0010  1.0591283426E-0016
1.4380714078E+0010  9.5405323638E-0017
1.4642237337E+0010  8.6135700602E-0017
1.4917568780E+0010  7.7914605425E-0017
1.5206550721E+0010  7.0668970594E-0017
1.5508724638E+0010  6.4302196310E-0017
1.5823401895E+0010  5.8675153621E-0017
1.6149927592E+0010  5.3648232102E-0017
1.6487857794E+0010  4.9202121708E-0017
1.6836352994E+0010  4.5263830656E-0017
1.7194515218E+0010  4.1786598405E-0017
1.7561259177E+0010  3.8658562767E-0017
