  
  
#r(i) [cm]  Tk(i) [K]
  
1.0136340609E+0010  1.3142113300E+0003
1.0137413623E+0010  1.3156579233E+0003
1.0138489513E+0010  1.3171385803E+0003
1.0139568325E+0010  1.3186558005E+0003
1.0140650106E+0010  1.3202075378E+0003
1.0141734903E+0010  1.3217991665E+0003
1.0142822768E+0010  1.3234255059E+0003
1.0143913749E+0010  1.3250928957E+0003
1.0145007898E+0010  1.3267987081E+0003
1.0146105270E+0010  1.3285427573E+0003
1.0147205916E+0010  1.3303277838E+0003
1.0148309891E+0010  1.3321552629E+0003
1.0149417254E+0010  1.3340236847E+0003
1.0150528061E+0010  1.3359359123E+0003
1.0151642373E+0010  1.3378908757E+0003
1.0152760248E+0010  1.3398894459E+0003
1.0153881748E+0010  1.3419364625E+0003
1.0155006939E+0010  1.3440255013E+0003
1.0156135882E+0010  1.3461640780E+0003
1.0157268646E+0010  1.3483497507E+0003
1.0158405298E+0010  1.3505834364E+0003
1.0159545906E+0010  1.3528681997E+0003
1.0160690543E+0010  1.3552030118E+0003
1.0161839281E+0010  1.3575895233E+0003
1.0162992194E+0010  1.3600275274E+0003
1.0164149357E+0010  1.3625197268E+0003
1.0165310849E+0010  1.3650658491E+0003
1.0166476749E+0010  1.3676686460E+0003
1.0167647140E+0010  1.3703272183E+0003
1.0168822103E+0010  1.3730427321E+0003
1.0170001725E+0010  1.3758180530E+0003
1.0171186093E+0010  1.3786530621E+0003
1.0172375296E+0010  1.3815492242E+0003
1.0173569426E+0010  1.3845064484E+0003
1.0174768577E+0010  1.3875285965E+0003
1.0175972844E+0010  1.3906133664E+0003
1.0177182326E+0010  1.3937648367E+0003
1.0178397124E+0010  1.3969833382E+0003
1.0179617340E+0010  1.4002697789E+0003
1.0180843080E+0010  1.4036257295E+0003
1.0182074452E+0010  1.4070529224E+0003
1.0183311567E+0010  1.4105523884E+0003
1.0184554538E+0010  1.4141239119E+0003
1.0185803480E+0010  1.4177721922E+0003
1.0187058514E+0010  1.4214957455E+0003
1.0188319761E+0010  1.4252973428E+0003
1.0189587345E+0010  1.4291785176E+0003
1.0190861396E+0010  1.4331405705E+0003
1.0192142043E+0010  1.4371841477E+0003
1.0193429423E+0010  1.4413096882E+0003
1.0194723676E+0010  1.4455212174E+0003
1.0196024942E+0010  1.4498222484E+0003
1.0197333366E+0010  1.4542075964E+0003
1.0198649096E+0010  1.4586858652E+0003
1.0199972286E+0010  1.4632572639E+0003
1.0201303087E+0010  1.4679213197E+0003
1.0202641662E+0010  1.4726800287E+0003
1.0203988178E+0010  1.4775371411E+0003
1.0205342800E+0010  1.4824943969E+0003
1.0206705700E+0010  1.4875495731E+0003
1.0208077057E+0010  1.4927103612E+0003
1.0209457052E+0010  1.4979740644E+0003
1.0210845871E+0010  1.5033448441E+0003
1.0212243710E+0010  1.5088206929E+0003
1.0213650762E+0010  1.5144111249E+0003
1.0215067231E+0010  1.5201127170E+0003
1.0216493321E+0010  1.5259303984E+0003
1.0217929247E+0010  1.5318645453E+0003
1.0219375223E+0010  1.5379170776E+0003
1.0220831475E+0010  1.5440919212E+0003
1.0222298235E+0010  1.5503896189E+0003
1.0223775736E+0010  1.5568141485E+0003
1.0225264222E+0010  1.5633658339E+0003
1.0226763943E+0010  1.5700483649E+0003
1.0228275153E+0010  1.5768634846E+0003
1.0229798116E+0010  1.5838136893E+0003
1.0231333104E+0010  1.5909023394E+0003
1.0232880391E+0010  1.5981315849E+0003
1.0234440265E+0010  1.6055033005E+0003
1.0236013018E+0010  1.6130196903E+0003
1.0237598951E+0010  1.6206865027E+0003
1.0239198379E+0010  1.6285017213E+0003
1.0240811617E+0010  1.6364713192E+0003
1.0242438997E+0010  1.6445953384E+0003
1.0244080854E+0010  1.6528772475E+0003
1.0245737541E+0010  1.6613212848E+0003
1.0247409413E+0010  1.6699289183E+0003
1.0249096842E+0010  1.6787041147E+0003
1.0250800208E+0010  1.6876500134E+0003
1.0252519899E+0010  1.6967662116E+0003
1.0254256323E+0010  1.7060606387E+0003
1.0256009891E+0010  1.7155327598E+0003
1.0257781034E+0010  1.7251844605E+0003
1.0259570190E+0010  1.7350236641E+0003
1.0261377816E+0010  1.7450482321E+0003
1.0263204384E+0010  1.7552650363E+0003
1.0265050373E+0010  1.7656739226E+0003
1.0266916285E+0010  1.7762818461E+0003
1.0268802632E+0010  1.7870896663E+0003
1.0270709950E+0010  1.7980996402E+0003
1.0272638781E+0010  1.8093162935E+0003
1.0274589694E+0010  1.8207440260E+0003
1.0276563273E+0010  1.8323817135E+0003
1.0278560123E+0010  1.8442384034E+0003
1.0280580870E+0010  1.8563100690E+0003
1.0282626159E+0010  1.8686043383E+0003
1.0284696657E+0010  1.8811240579E+0003
1.0286793054E+0010  1.8938710375E+0003
1.0288916068E+0010  1.9068498858E+0003
1.0291066434E+0010  1.9200615879E+0003
1.0293244914E+0010  1.9335141539E+0003
1.0295452303E+0010  1.9472050088E+0003
1.0297689417E+0010  1.9611400802E+0003
1.0299957104E+0010  1.9753210837E+0003
1.0302256245E+0010  1.9897488986E+0003
1.0304587754E+0010  2.0044282178E+0003
1.0306952577E+0010  2.0193622285E+0003
1.0309351696E+0010  2.0345522802E+0003
1.0311786126E+0010  2.0500014673E+0003
1.0314256924E+0010  2.0657123560E+0003
1.0316765182E+0010  2.0816894197E+0003
1.0319312038E+0010  2.0979332942E+0003
1.0321898673E+0010  2.1144442022E+0003
1.0324526317E+0010  2.1312243616E+0003
1.0327196248E+0010  2.1482747668E+0003
1.0329909793E+0010  2.1656010838E+0003
1.0332668337E+0010  2.1831984324E+0003
1.0335473313E+0010  2.2010734670E+0003
1.0338326220E+0010  2.2192270406E+0003
1.0341228611E+0010  2.2376587586E+0003
1.0344182109E+0010  2.2563664403E+0003
1.0347188399E+0010  2.2753514435E+0003
1.0350249249E+0010  2.2946139609E+0003
1.0353366496E+0010  2.3141539113E+0003
1.0356542058E+0010  2.3339675054E+0003
1.0359777940E+0010  2.3540558111E+0003
1.0363076235E+0010  2.3744171032E+0003
1.0366439124E+0010  2.3950495531E+0003
1.0369868895E+0010  2.4159463436E+0003
1.0373367934E+0010  2.4371089513E+0003
1.0376938744E+0010  2.4585258607E+0003
1.0380583955E+0010  2.4801895888E+0003
1.0384306322E+0010  2.5021032082E+0003
1.0388108723E+0010  2.5242563017E+0003
1.0391994176E+0010  2.5466371756E+0003
1.0395965857E+0010  2.5692387807E+0003
1.0400027106E+0010  2.5920517202E+0003
1.0404181423E+0010  2.6150698108E+0003
1.0408432483E+0010  2.6382817894E+0003
1.0412784149E+0010  2.6616750205E+0003
1.0417240487E+0010  2.6852343682E+0003
1.0421805780E+0010  2.7089477600E+0003
1.0426484543E+0010  2.7328031693E+0003
1.0431281525E+0010  2.7567762086E+0003
1.0436201748E+0010  2.7808485865E+0003
1.0441250521E+0010  2.8049992822E+0003
1.0446433449E+0010  2.8292073344E+0003
1.0451756454E+0010  2.8534552004E+0003
1.0457225785E+0010  2.8777201103E+0003
1.0462848040E+0010  2.9019800933E+0003
1.0468630210E+0010  2.9262006945E+0003
1.0474579720E+0010  2.9503575434E+0003
1.0480704429E+0010  2.9744210473E+0003
1.0487012683E+0010  2.9983743134E+0003
1.0493513283E+0010  3.0221968019E+0003
1.0500215560E+0010  3.0458677375E+0003
1.0507129394E+0010  3.0693580162E+0003
1.0514265277E+0010  3.0926456038E+0003
1.0521634340E+0010  3.1157335243E+0003
1.0529248255E+0010  3.1386386217E+0003
1.0537119308E+0010  3.1613890000E+0003
1.0545260400E+0010  3.1840153577E+0003
1.0553685026E+0010  3.2065842519E+0003
1.0562407234E+0010  3.2291969975E+0003
1.0571441514E+0010  3.2519906077E+0003
1.0580802689E+0010  3.2751333844E+0003
1.0590505833E+0010  3.2988102165E+0003
1.0600566234E+0010  3.3232508899E+0003
1.0610999270E+0010  3.3487010756E+0003
1.0621820317E+0010  3.3754482462E+0003
1.0633044569E+0010  3.4037445036E+0003
1.0644687206E+0010  3.4338070439E+0003
1.0656763635E+0010  3.4659042712E+0003
1.0669289383E+0010  3.5002440722E+0003
1.0682280478E+0010  3.5369805402E+0003
1.0695753790E+0010  3.5761977206E+0003
1.0709727572E+0010  3.6180644104E+0003
1.0724221210E+0010  3.6626379330E+0003
1.0739255861E+0010  3.7099777093E+0003
1.0754854982E+0010  3.7600921867E+0003
1.0771044658E+0010  3.8130529382E+0003
1.0787853513E+0010  3.8688367145E+0003
1.0805313621E+0010  3.9275736483E+0003
1.0823459846E+0010  3.9891976763E+0003
1.0842331515E+0010  4.0537968673E+0003
1.0861971639E+0010  4.1213153355E+0003
1.0882428389E+0010  4.1919558030E+0003
1.0903753709E+0010  4.2658093138E+0003
1.0926004713E+0010  4.3428935864E+0003
1.0949244430E+0010  4.4232767364E+0003
1.0973542445E+0010  4.5069312351E+0003
1.0998976010E+0010  4.5941655438E+0003
1.1025628025E+0010  4.6848952113E+0003
1.1053591223E+0010  4.7789343888E+0003
1.1082969900E+0010  4.8768061565E+0003
1.1113874928E+0010  4.9781722292E+0003
1.1146432452E+0010  5.0836769454E+0003
1.1180775576E+0010  5.1927146870E+0003
1.1217058146E+0010  5.3058163642E+0003
1.1255444303E+0010  5.4225659561E+0003
1.1296120678E+0010  5.5436683375E+0003
1.1339284461E+0010  5.6680703378E+0003
1.1385166426E+0010  5.7966374274E+0003
1.1434009112E+0010  5.9283283601E+0003
1.1486091597E+0010  6.0635285412E+0003
1.1541714151E+0010  6.2037474063E+0003
1.1601183314E+0010  6.3473458490E+0003
1.1664854971E+0010  6.4941817268E+0003
1.1733117406E+0010  6.6442700103E+0003
1.1806384449E+0010  6.7959035221E+0003
1.1885123297E+0010  6.9467712328E+0003
1.1969863371E+0010  7.0975704392E+0003
1.2061144174E+0010  7.2483415535E+0003
1.2159512825E+0010  7.3938897906E+0003
1.2265617678E+0010  7.5323528917E+0003
1.2380150032E+0010  7.6630520494E+0003
1.2503795684E+0010  7.7857470601E+0003
1.2637216576E+0010  7.8958609565E+0003
1.2781142200E+0010  7.9939317441E+0003
1.2936217345E+0010  8.0756632959E+0003
1.3103130343E+0010  8.1428183463E+0003
1.3282423650E+0010  8.1929851618E+0003
1.3474619727E+0010  8.2238141428E+0003
1.3680231012E+0010  8.2352335744E+0003
1.3899695610E+0010  8.2319667127E+0003
1.4133183862E+0010  8.2164240772E+0003
1.4380714078E+0010  8.1888886618E+0003
1.4642237337E+0010  8.1511745339E+0003
1.4917568780E+0010  8.1023811569E+0003
1.5206550721E+0010  8.0486759418E+0003
1.5508724638E+0010  7.9936574531E+0003
1.5823401895E+0010  7.9361341762E+0003
1.6149927592E+0010  7.8718896811E+0003
1.6487857794E+0010  7.8065015009E+0003
1.6836352994E+0010  7.7400452021E+0003
1.7194515218E+0010  7.6729537906E+0003
1.7561259177E+0010  7.5969214859E+0003
1.7935970021E+0010  7.5177309947E+0003
1.8317518542E+0010  7.4376730789E+0003
1.8704473217E+0010  7.3483169810E+0003
1.9095949270E+0010  7.2499169172E+0003
1.9491001097E+0010  7.1502263014E+0003
1.9888068519E+0010  7.0419029427E+0003
2.0286214180E+0010  6.9238821763E+0003
2.0684687919E+0010  6.8063385340E+0003
2.1082037225E+0010  6.6823438270E+0003
2.1477556325E+0010  6.5510452322E+0003
2.1870814091E+0010  6.4225293212E+0003
2.2260666976E+0010  6.2910804148E+0003
2.2646681188E+0010  6.1550292742E+0003
2.3028767568E+0010  6.0235060019E+0003
2.3406159208E+0010  5.8921650469E+0003
2.3778606861E+0010  5.7587902034E+0003
2.4146206460E+0010  5.6308845202E+0003
2.4508428227E+0010  5.5049411561E+0003
2.4865155216E+0010  5.3771832760E+0003
2.5216673972E+0010  5.2542095153E+0003
2.5562680446E+0010  5.1356437420E+0003
2.5902910979E+0010  5.0158034701E+0003
2.6237685992E+0010  4.8979277459E+0003
2.6566997332E+0010  4.7851405011E+0003
2.6890536434E+0010  4.6726471964E+0003
2.7208463751E+0010  4.5602766524E+0003
2.7520957815E+0010  4.4517734985E+0003
2.7827820052E+0010  4.3452341352E+0003
2.8129048583E+0010  4.2383540724E+0003
2.8424883166E+0010  4.1336861941E+0003
2.8715317012E+0010  4.0326219531E+0003
2.9000217095E+0010  3.9324953310E+0003
2.9279756438E+0010  3.8330385473E+0003
2.9554160850E+0010  3.7368228357E+0003
2.9823412091E+0010  3.6439321907E+0003
3.0087515700E+0010  3.5523505103E+0003
3.0346724836E+0010  3.4626357568E+0003
3.0601264094E+0010  3.3766901246E+0003
3.0851178186E+0010  3.2940920419E+0003
3.1096580048E+0010  3.2135133452E+0003
3.1337748632E+0010  3.1353983082E+0003
3.1574930509E+0010  3.0610105384E+0003
3.1808240724E+0010  2.9901769069E+0003
3.2037818903E+0010  2.9218969035E+0003
3.2263921002E+0010  2.8563341314E+0003
3.2486784067E+0010  2.7941696311E+0003
3.2706559771E+0010  2.7352555913E+0003
3.2923406305E+0010  2.6790006733E+0003
3.3137541688E+0010  2.6254168463E+0003
3.3349165933E+0010  2.5747163935E+0003
3.3558434853E+0010  2.5268351438E+0003
3.3765492208E+0010  2.4814701234E+0003
3.3970497056E+0010  2.4384788669E+0003
3.4173599107E+0010  2.3977843934E+0003
3.4374929474E+0010  2.3593187892E+0003
3.4574601217E+0010  2.3229314946E+0003
3.4772717041E+0010  2.2884455285E+0003
3.4969368983E+0010  2.2557509767E+0003
3.5164631078E+0010  2.2247318659E+0003
3.5358554793E+0010  2.1952211445E+0003
3.5551177036E+0010  2.1669951688E+0003
3.5742523865E+0010  2.1398366542E+0003
3.5932609834E+0010  2.1135380505E+0003
3.6121432487E+0010  2.0878851831E+0003
3.6308972018E+0010  2.0626448470E+0003
3.6495194630E+0010  2.0375853547E+0003
3.6680053193E+0010  2.0124829604E+0003
3.6863484919E+0010  1.9871222793E+0003
3.7045410230E+0010  1.9612832358E+0003
3.7225737019E+0010  1.9347380019E+0003
3.7404366052E+0010  1.9072724901E+0003
3.7581194228E+0010  1.8787218400E+0003
3.7756118290E+0010  1.8489631919E+0003
3.7929039802E+0010  1.8179197437E+0003
3.8099870642E+0010  1.7855661134E+0003
3.8268539285E+0010  1.7519505146E+0003
3.8434996624E+0010  1.7171843513E+0003
3.8599219306E+0010  1.6814418775E+0003
3.8761213849E+0010  1.6449510617E+0003
3.8921020070E+0010  1.6079876212E+0003
3.9078713308E+0010  1.5708342375E+0003
3.9234404973E+0010  1.5337851693E+0003
3.9388241257E+0010  1.4971140467E+0003
3.9540401464E+0010  1.4610671941E+0003
3.9691095455E+0010  1.4258544627E+0003
3.9840560362E+0010  1.3916419528E+0003
3.9989057117E+0010  1.3585574711E+0003
4.0136866999E+0010  1.3266846404E+0003
4.0284286393E+0010  1.2960672465E+0003
4.0431623622E+0010  1.2667024372E+0003
4.0579192922E+0010  1.2385612299E+0003
4.0727311053E+0010  1.2116106565E+0003
4.0876292502E+0010  1.1858139012E+0003
4.1026440409E+0010  1.1611689898E+0003
4.1178040034E+0010  1.1377323731E+0003
4.1331350847E+0010  1.1156452105E+0003
4.1486588170E+0010  1.0952775584E+0003
4.1643874969E+0010  1.0775652997E+0003
4.1803117991E+0010  1.0644539765E+0003
4.1963708658E+0010  1.0595902438E+0003
4.2124023007E+0010  1.0681816597E+0003
4.2281004738E+0010  1.0938767688E+0003
  
