  
  
#r(i) [cm]  rho(i) [g/cm^-3]
  
1.0166881442E+0010  8.4616224413E-0013
1.0168555093E+0010  8.2679715277E-0013
1.0170243407E+0010  8.0778378457E-0013
1.0171946699E+0010  7.8911796971E-0013
1.0173665292E+0010  7.7079345312E-0013
1.0175399521E+0010  7.5280525456E-0013
1.0177149730E+0010  7.3514769018E-0013
1.0178916276E+0010  7.1781737925E-0013
1.0180699521E+0010  7.0080920722E-0013
1.0182499839E+0010  6.8412011178E-0013
1.0184317611E+0010  6.6774374644E-0013
1.0186153232E+0010  6.5167599971E-0013
1.0188007107E+0010  6.3591156888E-0013
1.0189879659E+0010  6.2044603192E-0013
1.0191771318E+0010  6.0527610105E-0013
1.0193682527E+0010  5.9039681146E-0013
1.0195613744E+0010  5.7580403609E-0013
1.0197565438E+0010  5.6149360391E-0013
1.0199538095E+0010  5.4746045495E-0013
1.0201532216E+0010  5.3370133960E-0013
1.0203548317E+0010  5.2021179625E-0013
1.0205586929E+0010  5.0698716425E-0013
1.0207648605E+0010  4.9402500196E-0013
1.0209733906E+0010  4.8132049987E-0013
1.0211843418E+0010  4.6887058708E-0013
1.0213977738E+0010  4.5667162348E-0013
1.0216137486E+0010  4.4471849915E-0013
1.0218323304E+0010  4.3300811191E-0013
1.0220535854E+0010  4.2153588860E-0013
1.0222775825E+0010  4.1029882423E-0013
1.0225043924E+0010  3.9929365558E-0013
1.0227340881E+0010  3.8851620662E-0013
1.0229667454E+0010  3.7796269951E-0013
1.0232024429E+0010  3.6763039130E-0013
1.0234412615E+0010  3.5751463374E-0013
1.0236832855E+0010  3.4761261267E-0013
1.0239286021E+0010  3.3792133773E-0013
1.0241773013E+0010  3.2843739638E-0013
1.0244294761E+0010  3.1915769193E-0013
1.0246852232E+0010  3.1007881099E-0013
1.0249446426E+0010  3.0119675162E-0013
1.0252078389E+0010  2.9250876764E-0013
1.0254749202E+0010  2.8401106489E-0013
1.0257459993E+0010  2.7570119021E-0013
1.0260211929E+0010  2.6757581398E-0013
1.0263006224E+0010  2.5963200615E-0013
1.0265844139E+0010  2.5186649013E-0013
1.0268726990E+0010  2.4427591822E-0013
1.0271656150E+0010  2.3685798789E-0013
1.0274633041E+0010  2.2960962363E-0013
1.0277659145E+0010  2.2252810789E-0013
1.0280736009E+0010  2.1561072123E-0013
1.0283865239E+0010  2.0885407400E-0013
1.0287048522E+0010  2.0225557411E-0013
