#
# 1/r [10^-10 cm^-1]   [g/cm^3]
0.9982410423452769    2.8677744043597812e-9
0.9954804560260586    1.3806882522016251e-9
0.995114006514658    2.7381519276497803e-9
0.9913680781758958    6.107058363709501e-10
0.9892508143322476    2.565381007356728e-10
0.987785016286645    1.144175307104003e-10
0.9847836202885063    4.9742486609684354e-11
0.9818241042345277    2.102200548996606e-11
0.9780828292228944    9.233604811052513e-12
0.9747882736156351    4.479960558134151e-12
0.9697068403908795    2.339735989501435e-12
0.9643322475570033    1.080202553386505e-12
0.9589576547231271    5.08001429140847e-13
0.9535830618892508    2.5381483589137253e-13
0.9477198697068404    1.1998385322275783e-13
0.9418566775244299    5.6332330798639084e-14
0.9359934853420195    2.6766506151830995e-14
0.9301302931596092    1.4213549225608282e-14
0.9242671009771988    9.047776224051845e-15
0.9184039087947883    6.146170081235825e-15
0.9125407166123779    4.658021221400959e-15
0.9066775244299674    3.542287397747298e-15
0.900814332247557    2.8066705473881658e-15
0.8949511400651466    2.3328954589249306e-15
0.8890879478827362    1.893219720446994e-15
0.8832247557003258    1.6850535742494282e-15
0.8773615635179153    1.410225096302575e-15
0.8714983713355049    1.2254709880634463e-15
0.8656351791530945    1.1520804591874185e-15
0.859771986970684    9.67482189841568e-16
0.8539087947882736    9.607045284506393e-16
0.8480456026058631    8.206863679230392e-16
0.8421824104234528    7.156114113541711e-16
0.8363192182410424    6.985490444663951e-16
0.8304560260586319    6.680421922464899e-16
0.8245928338762215    5.765641065346722e-16
0.8187296416938111    5.044673726544561e-16
0.8128664495114006    5.009333447720583e-16
0.8070032573289903    5.042763156551812e-16
0.8011400651465799    4.3971229456601175e-16
0.7952768729641694    3.9405077673761886e-16
0.7894136807817589    3.8203306095173407e-16
0.7835504885993485    3.806564996675039e-16
0.7776872964169381    3.422963525691415e-16
0.7718241042345277    3.0780189773319684e-16
0.7659609120521174    2.8252245458278276e-16
0.7600977198697069    2.8150445506217607e-16
0.7542345276872965    2.7762670960203504e-16
0.748371335504886    2.5482552262395727e-16
0.7425081433224756    2.2449118339387497e-16
0.7366449511400652    2.0325404453069995e-16
0.7307817589576547    2.025216690450108e-16
0.7249185667752444    2.024833148830403e-16
0.7190553745928339    1.9563770507887384e-16
0.7131921824104235    1.6541832293288894e-16
0.7073289902280131    1.5183269165051238e-16
0.7014657980456026    1.5076903323603534e-16
0.6956026058631922    1.4818446651133755e-16
0.6897394136807817    1.4415738109325416e-16
0.6838762214983714    1.3231788839714898e-16
0.678013029315961    1.214507606693718e-16
0.6721498371335506    1.1262589232420113e-16
0.66628664495114    1.1222007288389015e-16
0.6604234527687297    1.1181571571317714e-16
0.6545602605863192    1.0914968672726857e-16
0.6486970684039088    1.0018533881119484e-16
0.6428338762214983    9.101846792177571e-17
0.636970684039088    8.26903577023342e-17
0.6311074918566775    8.071876641855488e-17
0.6252442996742671    8.042791638456657e-17
0.6193811074918567    8.013811435646301e-17
0.6135179153094463    7.742878365608984e-17
0.6076547231270357    6.891521741527096e-17
0.6017915309446253    6.325528375768755e-17
0.595928338762215    5.987526794377199e-17
0.5900651465798046    5.785098894824246e-17
0.5842019543973942    5.764253727277156e-17
0.5783387622149837    5.743483670115944e-17
0.5724755700325732    5.606541435771177e-17
0.5666123778501628    5.252781911422613e-17
0.5607491856677524    4.9721020239419813e-17
0.5548859934853421    4.658374128205829e-17
0.5490228013029317    4.23213696921045e-17
0.5431596091205211    4.274977044250219e-17
0.5372964169381107    4.1445992804140725e-17
0.5314332247557003    4.18655324964391e-17
0.5255700325732899    4.128883157517431e-17
0.5197068403908796    4.030437942485125e-17
0.513843648208469    3.7761268264817524e-17
0.5079804560260587    3.4306145240712697e-17
0.5021172638436482    3.1488617945691895e-17
0.4962540716612378    3.180736347909566e-17
0.4903908794788274    3.158453814787736e-17
0.48452768729641704    3.1578556573177e-17
0.47866449511400655    3.146477108486779e-17
0.47280130293159606    3.0925384457517374e-17
0.46693811074918556    2.957481910929621e-17
0.4610749185667754    2.6594456466253697e-17
0.4552117263843649    2.5173394412958776e-17
0.44934853420195453    2.3828266130368573e-17
0.44348534201954404    2.255501413378661e-17
0.43762214983713354    2.224431708410238e-17
0.4317589576547233    2.2164165210293697e-17
0.4258957654723128    2.208430214386259e-17
0.4200325732899023    2.200472684416266e-17
0.4141693811074919    2.1925438274298294e-17
0.4083061889250814    2.1623413680367947e-17
0.40244299674267103    2.0467976919219756e-17
0.39657980456026065    1.9775990107612182e-17
0.39071661237785027    1.8719269540906118e-17
0.38485342019543967    1.7901766469256842e-17
0.3789902280130294    1.7474933550452777e-17
0.373127035830619    1.614983523805866e-17
0.3672638436482084    1.555055776746057e-17
0.36140065146579814    1.5978913892829397e-17
0.35553745928338754    1.549159079370786e-17
0.3511400651465798    1.6487076513883193e-17
